ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,candidate_type,old_constituency
E14001331,Lewisham East,London,England,Borough,7/5/24 5:53,Lab hold,Lab,Labour,,Janet,Daby,Jessica,4698,Female,Re-elected Member,Lewisham East
E14001332,Lewisham North,London,England,Borough,7/5/24 5:58,Lab hold,Lab,Labour,,Vicky,Foxcroft,,4491,Female,Re-elected Member,"Lewisham, Deptford"
E14001333,Lewisham West and East Dulwich,London,England,Borough,7/5/24 5:31,Lab hold,Lab,Labour,,Ellie,Reeves,,4620,Female,Re-elected Member,Lewisham West and Penge
E14001334,Leyton and Wanstead,London,England,Borough,7/5/24 6:40,Lab hold,Lab,Labour,,Calvin,Bailey,George,,Male,New member,
E14001335,Lichfield,West Midlands,England,County,7/5/24 3:58,Lab gain from Con,Lab,Labour,,Dave,Robertson,,,Male,New member,
E14001336,Lincoln,East Midlands,England,Borough,7/5/24 4:26,Lab gain from Con,Lab,Labour,,Hamish,Falconer,,,Male,New member,
E14001337,Liverpool Garston,North West,England,Borough,7/5/24 5:26,Lab hold,Lab,Labour,,Maria,Eagle,,483,Female,Re-elected Member,Garston and Halewood
E14001338,Liverpool Riverside,North West,England,Borough,7/5/24 3:31,Lab hold,Lab,Labour,,Kim,Johnson,Marie,4824,Female,Re-elected Member,"Liverpool, Riverside"
E14001339,Liverpool Walton,North West,England,Borough,7/5/24 3:01,Lab hold,Lab,Labour,,Dan,Carden,Joseph,4651,Male,Re-elected Member,"Liverpool, Walton"
E14001340,Liverpool Wavertree,North West,England,Borough,7/5/24 4:17,Lab hold,Lab,Labour,,Paula,Barker,,4828,Female,Re-elected Member,"Liverpool, Wavertree"
E14001341,Liverpool West Derby,North West,England,Borough,7/5/24 3:42,Lab hold,Lab,Labour,,Ian,Byrne,Robert,4831,Male,Re-elected Member,"Liverpool, West Derby"
S14000095,Livingston,Scotland,Scotland,County,7/5/24 4:37,Lab gain from SNP,Lab,Labour,,Gregor,Poynton,Arthur,,Male,New member,
W07000098,Llanelli,Wales,Wales,County,7/5/24 4:17,Lab hold,Lab,Labour,Dame,Nia,Griffith,Rhiannon,1541,Female,Re-elected Member,Llanelli
S14000096,Lothian East,Scotland,Scotland,County,7/5/24 3:24,Lab gain from SNP,Lab,Labour and Co-operative,Mr,Douglas,Alexander,Garven,632,Male,Historical member,
E14001342,Loughborough,East Midlands,England,County,7/5/24 5:36,Lab gain from Con,Lab,Labour,,Jeevun,Sandher,,,Male,New member,
E14001343,Louth and Horncastle,East Midlands,England,County,7/5/24 4:03,Con hold,Con,Conservative,,Victoria,Atkins,Mary,4399,Female,Re-elected Member,Louth and Horncastle
E14001344,Lowestoft,East of England,England,County,7/5/24 6:09,Lab gain from Con,Lab,Labour,,Jess,Asato,,,Female,New member,
E14001345,Luton North,East of England,England,Borough,7/5/24 5:42,Lab hold,Lab,Labour,,Sarah,Owen,Mei Li,4777,Female,Re-elected Member,Luton North
E14001346,Luton South and South Bedfordshire,East of England,England,County,7/5/24 5:06,Lab hold,Lab,Labour,,Rachel,Hopkins,Louise,4873,Female,Re-elected Member,Luton South
E14001347,Macclesfield,North West,England,County,7/5/24 5:46,Lab gain from Con,Lab,Labour,,Tim,Roca,,,Male,New member,
E14001348,Maidenhead,South East,England,County,7/5/24 6:54,LD gain from Con,LD,Liberal Democrat,Mr,Joshua,Reynolds,Peter,,Male,New member,
E14001349,Maidstone and Malling,South East,England,County,7/5/24 6:13,Con hold,Con,Conservative,Mrs,Helen,Grant,,4018,Female,Re-elected Member,Maidstone and The Weald
E14001350,Makerfield,North West,England,Borough,7/5/24 3:02,Lab hold,Lab,Labour,,Josh,Simons,,,Male,New member,
E14001351,Maldon,East of England,England,County,7/5/24 5:15,Con hold,Con,Conservative,,John,Whittingdale,Flasby Lawrance,39,Male,Re-elected Member,Maldon
E14001352,Manchester Central,North West,England,Borough,7/5/24 4:47,Lab hold,Lab,Labour and Co-operative,,Lucy,Powell,Maria,4263,Female,Re-elected Member,Manchester Central
E14001353,Manchester Rusholme,North West,England,Borough,7/5/24 5:35,Lab hold,Lab,Labour,,Afzal,Khan,,4671,Male,Re-elected Member,"Manchester, Gorton"
E14001354,Manchester Withington,North West,England,Borough,7/5/24 5:01,Lab hold,Lab,Labour,,Jeff,Smith,,4456,Male,Re-elected Member,"Manchester, Withington"
E14001355,Mansfield,East Midlands,England,County,7/5/24 4:57,Lab gain from Con,Lab,Labour,,Steve,Yemm,,,Male,New member,
